,isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021,Country Name,YR2000Level,YR2001Level,YR2002Level,YR2003Level,YR2004Level,YR2005Level,YR2006Level,YR2007Level,YR2008Level,YR2009Level,YR2010Level,YR2011Level,YR2012Level,YR2013Level,YR2014Level,YR2015Level,YR2016Level,YR2017Level,YR2018Level,YR2019Level,YR2020Level,YR2021Level,YR2022Level,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
10,CPV,Cape Verde Islands,7.4826818,-2.3025851,3.912023,0,0,0,1,0,0,0,0,15,-24.04431,0,73,13,5.4783616,1,0,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,-2.3025851,3.6468422,11.599784,3.4816022,6.465437,0.4174,,0.00403,3398.165376,Cape Verde Islands,1176.707258,1208.457609,1311.214581,1693.978552,1900.888465,1972.784926,2220.098175,3268.305696,3839.863636,3592.315879,3500.977468,3880.069205,3583.461725,3757.659953,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317,3126.399859,3398.165376,3754.304794,7.070475358,7.097100122,7.178709148,7.434835214,7.550076669,7.587201491,7.705306697,8.092026994,8.253192133,8.186552365,8.160797485,8.263608269,8.184084574,8.23155169,8.226647898,8.061196257,8.105517863,8.170282868,8.258540281,8.269513659,8.047637417,8.13099097,8.230658406
11,DJI,Djibouti,7.005789,-1.6617181,4.703024,0,0,1,0,0,0,0,0,11,42.57752,0,74,17,2.6583505,0,94,1,0,0,0,0,1,0,-13.815511,-9.2103405,-6.9077554,-0.1698741,14.407552,2.682206,2.350743,0.06438951,0.7962,0.133,0.022,3062.551482,Djibouti,742.8656972,747.7791229,749.0816325,771.3742316,813.8979436,852.8901883,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2921.738706,3062.551482,3136.112768,6.610515271,6.617107644,6.618847966,6.64817364,6.701834982,6.748630803,6.811043856,6.887584237,7.03141941,7.059833827,7.112996213,7.187450227,7.25732766,7.650738718,7.713835771,7.787096468,7.842176181,7.884476061,7.921476956,7.964170901,7.979934165,8.027003665,8.05073934
12,DZA,Algeria,7.9345136,3.2573552,9.961392,0,0,1,0,0,0,0,0,36,2.63691,0,66,0,-0.70158607,0,99,1,0,1,0,0,0,0,-13.815511,0.9135318,-6.9077554,-0.404099,6.5592318,14.91231,0.9850905,3.6541648,0.3394,0.99,2.38,3700.314697,Algeria,1780.376063,1754.582361,1794.811114,2117.048229,2624.795232,3131.32819,3500.134594,3971.803488,4946.564017,3898.478788,4495.921476,5473.281826,5610.733282,5519.777576,5516.22944,4197.419985,3967.200647,4134.936087,4171.790388,4021.983266,3354.153164,3700.314697,4342.637968,7.484579892,7.469986137,7.492655066,7.657778053,7.872758165,8.049212535,8.160556702,8.28697555,8.506448477,8.268341702,8.410925926,8.607633684,8.6324367,8.616092844,8.615449833,8.342225326,8.285815998,8.327227151,8.336100572,8.29953041,8.117954607,8.216173148,8.376237269
13,EGY,Egypt,7.979339,0.39991686,5.477251,0,1,0,0,0,0,0,0,28,29.87953,0,41,1,0.89608806,0,88,1,0,1,0,0,0,0,-13.815511,-0.36104244,-6.9077554,1.430923,16.392658,4.6673117,0.4303847,1.1126584,0.1836,0.99,1,3886.722498,Egypt,1398.859831,1327.096518,1144.532398,1056.937209,1016.253884,1133.105461,1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496,7.243412777,7.190748766,7.042751447,6.963130579,6.923878483,7.032717338,7.194691631,7.369268542,7.57142214,7.701750978,7.827947205,7.88066168,8.025887615,8.035567352,8.069924789,8.122781503,8.111211688,7.79973991,7.836448809,8.012103862,8.180756888,8.265321536,8.365301707
14,ETH,Ethiopia,6.4361506,7.078711,12.99278,1,0,0,0,0,0,0,0,12,39.61983,5,73,0,4.529333,0,32,1,0,0,0,0,1,0,-3.8059134,-9.2103405,-6.9077554,0.35566694,12.58899,2.7058837,2.5432477,0.5100758,0.7235,0.843,1.22,925.0006976,Ethiopia,122.9616597,119.2618573,110.4608747,117.8601647,134.5424863,160.0767918,191.7512925,240.347972,320.8610897,373.8939587,335.4384953,348.0013483,458.5509208,490.7924784,557.5341484,630.3126194,705.6175085,755.7526443,758.2976945,840.4496013,918.6525941,925.0006976,1027.585911,4.811872597,4.781321557,4.704661383,4.769498877,4.901880032,5.075653649,5.256199181,5.482087757,5.771008287,5.923972224,5.815438617,5.852206354,6.128071345,6.196021388,6.323523754,6.446215918,6.559073318,6.627714133,6.631076045,6.733936988,6.822908025,6.829794492,6.934967555
15,GAB,Gabon,8.265393,4.6273904,11.694956,0,0,1,0,0,0,0,0,0.2,11.79747,3,79,17,1.1946006,0,0.8,1,0,0,0,0,0,1,-1.654193,2.6501067,-2.165953,-0.6607257,5.5313993,8.366795,3.7028396,3.5288613,0.769,0.011,0.268,8635.797144,Gabon,3991.157151,3844.561349,3976.646796,4724.254798,5483.144575,6570.963265,6873.453983,8036.919956,9732.226533,7325.909513,8399.597348,10273.79844,9348.514876,9250.081115,9255.368035,7090.454634,6722.198223,6975.695192,7694.906051,7523.862281,6680.082665,8635.797144,8820.347337,8.291836481,8.254414792,8.28819423,8.460465113,8.609434043,8.790415716,8.835422022,8.991801199,9.183197981,8.899172592,9.035939049,9.237352092,9.142972773,9.1323876,9.13295899,8.866504741,8.813170497,8.850187271,8.948313837,8.925834886,8.806885641,9.063671302,9.084816529
16,GHA,Ghana,7.1546154,8.8182535,13.698667,0,1,0,0,0,0,0,0,7,-1.20736,15,77,15,0.81325203,0,16,0,1,0,0,1,0,0,0.65325093,-5.899707,-2.2394688,1.3386153,4.772588,9.299526,3.174178,4.332308,0.6733,0.651,0.239,2422.085913,Ghana,253.3802932,263.1701414,297.0469704,357.8479826,405.4249018,477.6010928,904.1695278,1047.199428,1178.955877,1044.004989,1258.964197,1501.059171,1536.619635,2282.407501,1942.921869,1711.271317,1900.397674,1998.722666,2180.029684,2167.92544,2176.576218,2422.085913,2203.558935,5.534891495,5.572800748,5.693890276,5.880108267,6.004935657,6.16877585,6.807016874,6.953874668,7.072384476,6.950819547,7.138044596,7.313926252,7.337340241,7.732986086,7.571948237,7.444991834,7.549818445,7.600263589,7.687093772,7.681525971,7.685508379,7.792384395,7.69782903
17,GIN,Guinea,6.349139,7.26078,12.823203,0,0,1,0,0,0,0,0,10,-10.93922,3,87,17,0.34110722,0,80,1,0,0,0,1,0,0,-0.89737684,-9.2103405,-3.6738544,0.6566054,3.7199848,10.269244,3.2454138,5.258811,0.7389,0.406,0.246,1189.175999,Guinea,359.28667,335.0142929,343.9345943,392.8798442,405.6960598,321.3386333,452.2761597,657.9934738,712.0994161,670.2612536,667.2816019,644.5025487,707.9676782,757.6922726,774.5690396,756.4255898,720.4732552,843.4642792,944.4172687,1043.899886,1073.659339,1189.175999,1515.167948,5.884120594,5.814173196,5.840451506,5.973503825,6.005604258,5.772495499,6.114292966,6.489195013,6.568217531,6.507667567,6.503212149,6.468478777,6.56239844,6.63027733,6.652306797,6.628604167,6.579908295,6.737517553,6.85056809,6.950718869,6.978828036,7.081015908,7.323281569
18,GMB,Gambia,6.7968235,7.5616875,12.204872,0,1,0,0,0,0,0,0,13,-15.38402,0,78,7,1.9572239,0,94,0,1,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,1.5758444,3.888797,10.79257,3.171976,5.637868,0.7864,0.426,0.0113,772.1514505,Gambia,544.6209611,464.6396362,379.8624179,310.9570684,596.6292865,618.9598135,615.9739283,725.0922849,857.8582399,772.1249338,796.6318292,705.4774953,686.5575577,647.3855346,561.6496346,611.6712191,640.6762653,632.0010242,683.3246328,722.8753563,704.0304628,772.1514505,808.2782815,6.300090068,6.141262129,5.939809129,5.739654859,6.39129596,6.428040349,6.423204638,6.586298936,6.754438864,6.649146368,6.680392626,6.558874872,6.531690064,6.472941997,6.33087823,6.416194914,6.462524283,6.448891015,6.526970051,6.583236809,6.556821626,6.64918071,6.694906407
19,GNB,Guinea-Bissau,6.5235624,8.518584,13.781655,0,0,0,1,0,0,0,0,12,-14.96533,0,74,13,2.0268352,0,34,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,0.9559578,3.7956743,10.631108,3.2846174,5.633392,0.8082,0.214,0.0361,795.118605,Guinea-Bissau,301.495571,312.2535665,324.9699,362.9061593,394.995798,425.4718887,418.902079,480.4386022,583.2683059,543.5624692,542.2841012,683.534476,598.5726262,616.1599287,605.1225465,585.9570126,642.6663901,718.2457378,781.6443676,730.6114323,710.258133,795.118605,775.8289657,5.708755326,5.743815571,5.783732563,5.894144287,5.978875127,6.053198879,6.037637191,6.174699441,6.368647296,6.298144639,6.295790036,6.527277095,6.394547865,6.423506554,6.405430994,6.37324643,6.465625756,6.576811764,6.661399864,6.593881762,6.565628472,6.678491292,6.653932091
