isocode,country_x,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,LN_GDPPC$_2021
GHA,Ghana,7.1546154,8.8182535,13.698667,0,1,0,0,0,0,0,0,7,-1.20736,15,77,15,0.81325203,0,16,0,1,0,0,1,0,0,0.65325093,-5.899707,-2.2394688,1.3386153,4.772588,9.299526,3.174178,4.332308,0.6733,0.651,0.239,2422.085913
GIN,Guinea,6.349139,7.26078,12.823203,0,0,1,0,0,0,0,0,10,-10.93922,3,87,17,0.34110722,0,80,1,0,0,0,1,0,0,-0.89737684,-9.2103405,-3.6738544,0.6566054,3.7199848,10.269244,3.2454138,5.258811,0.7389,0.406,0.246,1189.175999
GNB,Guinea-Bissau,6.5235624,8.518584,13.781655,0,0,0,1,0,0,0,0,12,-14.96533,0,74,13,2.0268352,0,34,1,0,0,0,1,0,0,-13.815511,-9.2103405,-6.9077554,0.9559578,3.7956743,10.631108,3.2846174,5.633392,0.8082,0.214,0.0361,795.118605
CIV,Ivory Coast,7.1899223,5.096793,10.8436985,0,0,1,0,0,0,0,0,6,-5.55555,41,82,15,0.4696153,0,20,1,0,0,0,1,0,0,-2.9727106,-3.2708921,-4.228216,0.47212294,4.1856956,9.457085,3.3530736,4.7939663,0.8204,0.082,0.322,2613.378893
KEN,Kenya,6.927558,4.99911,10.446629,0,1,0,0,0,0,0,0,2,37.85755,15,62,5,-0.08405302,0,6,0,1,0,0,0,1,0,-5.279897,-9.2103405,-6.9077554,0.8193114,11.0833435,2.7045832,3.358859,1.3613299,0.8588,0.172,0.583,2069.661129
LSO,Lesotho,7.4054956,-2.3025851,3.912023,0,1,0,0,0,0,0,0,29,28.2439,8,42,-9,-4.6051702,0,0,0,1,0,1,0,0,0,-13.815511,-9.2103405,-3.6375294,-0.15206537,7.2021523,3.0349998,6.637325,4.8458314,0.255,1,0.0304,1029.506189
LBR,Liberia,6.7417006,4.113622,10.010043,1,0,0,0,0,0,0,0,6,-9.3071,31,95,13,1.6517723,0,14,0,1,0,0,1,0,0,-1.7175468,-9.2103405,-2.123542,0.32260737,3.7761464,9.777017,3.5947523,5.2275,0.9084,0,0.111,675.6631858
LBY,Libya,7.750184,1.6148697,9.503454,0,0,0,0,0,0,0,1,32,18.04934,0,72,1,0.005665791,0,97,1,0,1,0,0,0,0,-13.815511,3.2358959,-6.9077554,-1.258461,8.422357,16.775434,0.6098508,2.151154,0.792,0.94,1.76,5908.951323
MDG,Madagascar,6.559615,5.3632393,11.355519,0,0,1,0,0,0,0,0,19,46.72618,8,71,1,2.1075768,0,3,1,0,0,0,0,1,0,-7.501954,-9.2103405,-6.9077554,-0.074497,9.686486,0.9039161,5.731615,3.4535468,0.8791,0.505,0.587,503.3520812
MWI,Malawi,6.5206213,6.9688244,12.33135,0,1,0,0,0,0,0,0,15,34.30362,0,66,-1,-4.6051702,0,16,0,1,0,1,0,0,0,-13.815511,-9.2103405,-6.9077554,0.9706659,9.266991,2.1831534,4.820801,2.9221413,0.6744,0.861,0.118,633.6097332
MLI,Mali,6.7357802,6.5203085,13.056465,0,0,1,0,0,0,0,0,14,-3.54519,0,73,8,-4.6051702,0,89,1,0,0,0,1,0,0,-0.8741745,-9.2103405,-6.9077554,-0.1801779,3.8974888,10.79005,2.2629168,4.310751,0.6906,0.115,1.24,881.5100887
MRT,Mauritania,6.9246125,5.0729494,12.874637,0,0,1,0,0,0,0,0,18,-10.34285,0,69,7,-0.3119217,0,99,1,0,0,0,1,0,0,-1.4447759,-9.2103405,-6.9077554,-1.4457083,4.4237103,11.914301,2.2552571,4.973302,0.615,0.858,1.03,1998.394003
