,ln_export_area,ln_export_pop,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,LN_GDPPC$_2021,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,LNYR1990,LNYR1991,LNYR1992,LNYR1993,LNYR1994,LNYR1995,LNYR1996,LNYR1997,LNYR1998,LNYR1999,LNYR2000,LNYR2001,LNYR2002,LNYR2003,LNYR2004,LNYR2005,LNYR2006,LNYR2007,LNYR2008,LNYR2009,LNYR2010,LNYR2011,LNYR2012,LNYR2013,LNYR2014,LNYR2015,LNYR2016,LNYR2017,LNYR2018,LNYR2019,LNYR2020
1990,,44.22972060012266,-195.1804061048706,,,-138.51435891223875,,,-41.61312090021719,,,,,,-22.851596002582376,,,13.066233229462732,92.75138286158952,0.0,,0.0,,,,,,1251.5389084640747,,,49.88472645975642,,,-115.50813249681207,,561.4756749692958,590.3159996483429,,159.35325268392475,,56.72377086464926,,,,,,,,,,,,,,,,,,,,,,,,-531.384101551658,-310.7272057963383,0.0
1991,,101.93324256865296,-180.92730817022255,-56.925682979790786,6.563324353571413,-187.96599041517317,,13.722496607942025,,63.55359163024143,-54.01528935913096,0.0,,34.42254103010376,-88.49299663221957,,,22.371518417891043,56.0936495001158,15.964771831667912,0.0,15.964771831667912,0.0,,,,,1251.6025961011337,8.471388942383633,-135.38714219423468,,,30.558576840990224,-132.05615836451207,,630.7517684538853,36.60013562915414,363.8874142888955,,,,285.16630563937787,,,,,,,,,,,,,,,,,,,,,,,-320.4160449516721,-420.6914609290383,
1992,,52.815144977766245,-198.53251469757362,-52.08567932993232,20.063808289739626,-215.9044762043799,,79.96985698824827,,91.41235146759028,-144.60540832977114,,,89.40358572889153,-53.21141834431313,,,27.987361065990626,69.92364147158133,6.109353470001961,0.6048375221186758,6.109353470001961,0.6048375221186758,,,,,1552.050394186532,,-243.7702120206777,,,,-205.08761405238494,,668.6966621069312,,,450.4225748286989,,,175.15521960473276,,,,,,,,,,,,,,,,,,,,,,-351.70703241592605,-219.58805031712862,-130.0034303182745,-174.99089945123853
1993,,27.05351545136618,-112.48541724938025,,94.67242468654399,-203.30404682754485,,75.3749618273718,,,-212.68916702609687,,,42.353019251843676,0.0,,,,,,0.0,,0.0,,,-69.62851992432473,,1480.6331639018106,,-234.59112040800875,,,,-201.16816863158468,,548.4100431649957,,,,555.000425288611,,,,,,,,,,,,,,,,,,,,,0.0,,-374.77316380402726,,-0.0,,-396.6852437443086
1994,,78.02679467115354,,,88.25048013409868,-163.9408123458604,-16.662922220994368,87.97429478088671,,41.30967905829231,-320.84502335103616,0.0,,8.978379200350423,,,,,-14.801813439574804,-1.3166593376212218e-13,,-1.3166593376212218e-13,,,,-71.85284490937335,-13.696735310682454,1595.6419035420408,,-249.63791373983364,,34.431382547989024,82.21754631277267,-215.62341161112184,,461.67627975301656,,-24.53893338363509,,235.50629449640064,,230.30969700064685,,,,,,,,,,,,,,,,,,,,,-346.1776947921276,-0.0,,,-399.6250647374871
1995,,78.21139006028861,,,86.7587453019793,-139.52907645154187,-0.0,82.90291174286097,,31.67764931319067,-249.62275606060595,,,,,-62.50186668480122,,-0.0,,-44.76093258271196,,-44.76093258271196,,,,-19.538327583573246,-35.00714699748807,1570.50684818402,35.32239249187261,-189.4474719094771,,4.55840542211952,107.35845254509638,-267.5526592709175,,326.0653912809882,,,,-0.0,,451.56289446026864,,,,,,,,,,125.13004827010522,,,,,,,,,,,-290.5278166263112,-64.8262198597775,-114.76199450564317,,-280.2895507662727
1996,,62.32292069233389,-47.30483668190384,,77.3807051524365,-139.8759058686332,,30.14794197820133,,28.309699379414123,0.0,-0.0,,,,,,,91.016090584531,,5.320185229672675e-15,,5.320185229672675e-15,,,-50.284930141926274,,1547.4376277064748,49.38546714018634,,-16.846994430793504,,32.9849689205749,-249.4420371847027,,356.68452074849284,,,,,,279.65170378405384,,354.22635404193676,15.86015202636788,,,,,,,,,,,,,,,,,,,-468.6387935212955,-112.43966813339566,,-248.99786460676913
1997,,119.68104188302152,-40.71864848622509,,184.60821447960095,-130.64935256518467,-74.40088129310408,,,,-153.27487559111776,,,,,,,-61.15039277293507,42.35303301209731,,,,,,,-151.42894996556961,-20.042994078639293,1697.6295481079126,26.578273424783603,-78.95826361541882,,81.78214606948464,85.7743474292857,-190.1468330027071,,406.6065508771625,,,,,,354.3275357771034,,212.16375496047098,21.099200126598614,,,,,,,,,,,,,,,,,,,-461.792803326637,,,-386.1947060013052
1998,,88.91364473888964,,,280.84489146342753,,-131.28121864686617,,,,-75.08966274121207,,,,,-58.58514440143951,,-58.96914130328492,,-1.9600867369647484e-13,,-1.9600867369647484e-13,,,,-188.52200728028086,,1753.3622838704516,31.260633510305585,,,95.17930266441455,89.7866546137411,-349.3059416832681,,319.8345254371605,-200.49189894953824,,,,,,,,506.339389527225,,,,,,,,,,,,,,,,,,,0.0,,,-705.4151450687361
1999,,84.48320585402472,-220.74334374073112,335.7408693839688,176.74785914493322,-175.25074384931204,-118.80571490233613,67.5524634360501,10.956189795880897,-0.05403053335867715,-130.50887285813525,,,8.267810205449928,,-13.666661203374847,-103.15256970534249,8.238357520594953,-160.65458295116102,-0.0,0.008398927352540414,-0.0,0.008398927352540414,,480.8565353892523,,,1659.7074517027702,52.67190569634551,-175.57125089116005,,140.63148631327044,67.70669539769962,-210.27646143746063,,530.5573210410633,-215.23939113059532,,,396.6615004622996,,,-6.234305340031604,,,79.88068472867234,,,100.0934833339157,,,542.531884015939,,,-477.6799807791362,,,,,70.09801301271393,,,,,,,-700.4044166362404
